PZ-Name1,PZ-Name2,Strasse,PLZ,Ort,PZ-Tel
Porsche Zentrum Berlin,Porsche Niederlassung Berlin GmbH,Franklinstraße 23,10587,Berlin,030/978911-100
Porsche Zentrum Berlin-Potsdam,Porsche Niederlassung Berlin-Potsdam GmbH,Albert-Einstein-Ring 49,14532,Kleinmachnow,030/978911-300
Porsche Zentrum Berlin-Adlershof,Porsche Niederlassung Berlin GmbH,Hermann-Dorner-Allee 98,12487,Berlin,030/978911399
Porsche Zentrum Leipzig,Porsche Niederlassung Leipzig GmbH,Poststraße 7,4158,Leipzig,0341/91936-0
Porsche Zentrum Dresden,Wegat Sportwagenzentrum GmbH & Co. KG,Großenhainer Straße 3,1097,Dresden,0351/2728-911
Porsche Zentrum Rostock,Sportwagenzentrum Mecklenburg-Vorpommern GmbH,Ferdinand-Porsche Str. 1,18059,Papendorf,0381/2527-911
Porsche Zentrum Magdeburg,Sportwagenzentrum Magdeburg GmbH,Werner-von-Siemens-Ring 5a,39116,Magdeburg,0391/66291-10
Porsche Zentrum Erfurt,Glinicke Sportwagen GmbH,Holzlandstraße 4,99099,Erfurt,0361/3435-900
Porsche Zentrum Chemnitz,Kamps Sportwagenzentrum Chemnitz GmbH & Co. KG,Tuchschererstraße 9 - 11,9116,Chemnitz,0371/36911-0
Porsche Zentrum Bremen,Sportwagen-Center Schmidt + Koch GmbH,Stresemannstraße 1-7,28207,Bremen,0421/4495-255
Porsche Zentrum Hannover,Sportwagenzentrum Petermax Müller GmbH & Co. KG,Podbielskistraße 117,30177,Hannover,0511/39900-0
Porsche Zentrum Bielefeld,Glinicke Sportwagen GmbH,Bechterdisser Straße 5,33719,Bielefeld,0521/9117039-0
Porsche Zentrum Braunschweig,Sportwagenvertrieb Harz-Heide GmbH,Trautenaustraße 6,38114,Braunschweig,0531/26026-0
Porsche Zentrum Kiel,Schmidt & Hoffmann Sportwagen GmbH,Projensdorfer Straße 23 - 27,24106,Kiel,0431/33988-0
Porsche Zentrum Lübeck,Senger PZ GmbH,Berliner Straße 2,23560,Lübeck,0451/87399-0
Porsche Zentrum Osnabrück,PZ Sportwagenzentrum Osnabrück GmbH,Blumenhaller Weg 153,49078,Osnabrück,0541/40441-500
Porsche Zentrum Paderborn,Thiel Sportwagen GmbH,Detmolder Straße 73,33100,Paderborn,05251/504-911
Porsche Zentrum Hamburg,Porsche Niederlassung Hamburg GmbH,Lübecker Straße 2,22087,Hamburg,040/21105-0
Porsche Zentrum Hamburg Nord-West,Porsche Niederlassung Hamburg GmbH,Holsteiner Chaussee 151,22523,Hamburg,040/557768-0
Porsche Zentrum Oldenburg,Sportwagen-Center Schmidt + Koch GmbH,Nadorster Straße 202,26123,Oldenburg,0441/98054-0
Porsche Zentrum Göttingen,PZ Sportwagenzentrum Göttingen GmbH,Große Breite 2,37077,Göttingen-Weende,0551/3858-22
Porsche Zentrum Kassel,Glinicke Sportwagen GmbH,Leipziger Straße 142,34123,Kassel,0561/57024-0
Porsche Zentrum Düsseldorf,Gottfried Schultz Sportwagen Düsseldorf GmbH & Co. KG,Klaus-Bungert-Straße 2,40468,Düsseldorf,0211/5260-911
Porsche Zentrum Köln,Fleischhauer PZ GmbH,Fröbelstraße 15,50823,Köln,0221/57741-20
Porsche Zentrum Dortmund,PZ Dortmund GmbH,Ferdinand-Porsche-Straße 4,59439,Holzwickede,02301/949-11
Porsche Zentrum Essen,Gottfried Schultz Sportwagen GmbH & Co. KG,Altendorfer Straße 52,45143,Essen,0201/63400-0
Porsche Zentrum Aachen,Fleischhauer PZ GmbH,Europaplatz 10,52068,Aachen,0241/5180314
Porsche Zentrum Bonn,Fleischhauer PZ GmbH,Brühler Straße 2,53119,Bonn,0228/41010-0
Porsche Zentrum Bensberg,Kamps Sportwagenzentrum Bensberg GmbH & Co. KG,Meisheide 1,51429,Bergisch Gladbach,02204/7676-100
Porsche Zentrum Lennetal,PZ Lennetal Automobile GmbH & Co. KG,Florianstraße 1,58119,Hagen,02334/9590-0
Porsche Zentrum Willich,Tölke & Fischer Sportwagen GmbH & Co. KG,Jakob-Kaiser-Straße 1,47877,Willich,02154/9189-0
Porsche Zentrum Münster,PZ Münster Knubel GmbH & Co. KG,Weseler Straße 693,48163,Münster,0251/97109-0
Porsche Zentrum Solingen,Gottfried Schultz Sportwagen Solingen GmbH & Co. KG,Schlagbaumer Str. 10,42653,Solingen,0212/24840-0
Porsche Zentrum Wuppertal,Gottfried Schultz Sportwagen Wuppertal GmbH & Co. KG,Porschestraße 1,42279,Wuppertal,0202/26601-0
Porsche Zentrum Niederrhein,Sportwagen Zentrum Niederrhein GmbH,Am Schürmannshütt 1a + 2,47441,Moers,02841/9691-1
Porsche Zentrum Recklinghausen,Sportwagenvertriebsgesellschaft Recklinghausen mbH,Schmalkalder Straße 17,45665,Recklinghausen,02361/30340-0
Porsche Zentrum Soest,Sportwagen Vertriebsgesellschaft Soest mbH,Am Bohnenpfad 2,59494,Soest,02921/6720-0
Porsche Zentrum Siegen,PZ-Siegen Automobile GmbH & Co. KG,Marienhütte 14,57080,Siegen,0271/2355-911
Porsche Zentrum Frankfurt,Otto Glöckler Sportwagen GmbH,Hanauer Landstraße 220 a,60314,Frankfurt/Main,069/405881-0
Porsche Zentrum Wiesbaden,Rossel + Scherer Sportwagen GmbH & Co. KG,Mainzer Straße 162,65187,Wiesbaden,0611/950125-0
Porsche Zentrum Darmstadt,Wiest Sportwagen GmbH,Hilpertstraße 5,64295,Darmstadt,06151/864-251
Porsche Zentrum Limburg,Bach Sportwagen Vertriebs GmbH,Limburger Straße 152,65582,Diez,06432/952-911
Porsche Zentrum Fulda,Kahrmann Sportwagen GmbH,Kohlhäuser Straße 59,36043,Fulda,0661/96929-0
Porsche Zentrum Kaiserslautern,Georg Rittersbacher Sportwagen GmbH,Pariser Straße 211,67663,Kaiserslautern,0631/31691-1
Porsche Zentrum Koblenz,Löhr Sportfahrzeuge Vertriebs GmbH,Andernacher Straße 210,56070,Koblenz,0261/89909-0
Porsche Zentrum Trier,Löhr Sportfahrzeuge Vertriebs GmbH,Rudolf-Diesel-Straße 15,54292,Trier,0651/99488-0
Porsche Zentrum Würzburg,Sportwagen Spindler GmbH & Co. KG,Porschestraße 2,97230,Estenfeld,0931/2099-911
Porsche Zentrum Aschaffenburg,HENRICI Sportwagen GmbH,Berliner Allee 2,63739,Aschaffenburg,06021/44229-11
Porsche Zentrum Mannheim,Penske Sportwagenzentrum GmbH,Elsa-Brändström-Straße 11,68229,Mannheim,0621/48366-0
